2023-07-24 17:52:03.258 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-24 17:52:03.265 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-24 17:52:03.489 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-24 17:52:03.495 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:03啟動成功
2023-07-24 17:52:03.497 [main] INFO  c.e.dockertest.DockerTestApplication - Started DockerTestApplication in 1.817 seconds (JVM running for 2.208)
2023-07-24 17:52:04.505 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:04啟動成功
2023-07-24 17:52:05.512 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:05啟動成功
2023-07-24 17:52:06.521 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:06啟動成功
2023-07-24 17:52:07.533 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:07啟動成功
2023-07-24 17:52:08.536 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:08啟動成功
2023-07-24 17:52:09.540 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:09啟動成功
2023-07-24 17:52:10.542 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:10啟動成功
2023-07-24 17:52:11.550 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:11啟動成功
2023-07-24 17:52:12.557 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:12啟動成功
2023-07-24 17:52:13.568 [scheduling-1] INFO  com.example.dockertest.CustomRun - 時間:17:52:13啟動成功
